slug,name,source,author,ownership,installs,avg,reviews,one_star_pct,low_pct,five_star_pct,threads_2mo,unresolved_pct,last_updated,days_stale,added,tags,one_star_scraped,one_star_last_12mo,one_star_12_24mo,one_star_recent_share_pct,one_star_titles_recent,dl_yesterday,dl_7d,dl_all,version_split,polarized,pre_score,enriched,seam_score
sg-ai-studio,AI Agent by SiteGround,popular,siteground,captive/rollup,1000000,1.6,96,84.4,85.4,14.6,1,100.0,2026-09-03,8,2026-04-14,"agent,ai,chatbot,connector,siteground",81,81,0,100.0,"Nope | Installed without consent | Installed without consent | Auto installed | The AI Squatter – Moved in without permission | Not happy at all (SG customer here) | New terms of service grants Siteground co-ownership of your AI gen content | Installing plugins without permisson | useless | irritating | Please Don’t Install Stuff on My Website Without My Permission! | This plugin fits the definition of Malware and should be blacklisted. | Welcome to 5 Stages of Grief | Dangerous | Pretty Poor Form Charging for AI Support | I wish I had four hands | Deplorable | Terrible behaviour | Why is AI I don’t want getting installed on my site without permission? | Like a U2 Album on my iPhone | VERY bad move by SiteGround | Installed without consent on 200+ client websites | No consent to install! | Typical SiteGround | Installed without my consent | Installed without consent | Installed on all my siteground sites without warning! | Thought site was hacked first but it was a forced install | Bad plugin, installed without consent | Installed Without Any Real Notice or Consent | Awful!!! You cannot install on my client’s sites! | Not good SG, Not good | Forced install, brought whole website down | Auto-installed without permission or notification:-/ | This should be banned from the WordPress repo. | Unacceptable over-reach in auto-installing this plugin | You treat your customers as a playground for your experiments. | Heart Breaking | This is a disaster. Should never have been a thought | Rollback this Installation",2581,1437397,12043237,1.3:82.8%; 1.2:17.1%; 1.1:0.1%,False,76.9,True,76.8
jetpack,"Jetpack - WP Security, Backup, Speed, - Growth",popular,automattic,captive/rollup,3000000,3.7,2407,24.3,28.6,60.2,34,17.6,2026-09-10,1,2011-01-20,"backup,malware,performance,scan,security",180,15,58,8.3,"Not Recommended at all. | Worst plugin, Not recommend! | 16.1 killed it | Pay for stats | Really Frustrating Elementor Error When Editing | Once Good Now Garbage | Don’t install – it brokes your website when unistall. | Forms update a mess | NEVER USE THIS PLUGIN | issue with my webiste | Complete disaster | Oh My – BOOST crashed my site | Atrocious! Did the opposite of what it was supposed to do! | horrible | Avoid Using Jetpack!!!",57680,517770,508702589,other:52.3%; 16.1:47.7%,False,961.1,True,24.6
google-listings-and-ads,Google for WooCommerce,popular,woocommerce,captive/rollup,800000,2.7,266,49.2,54.9,36.1,40,25.0,2026-09-03,8,2021-05-10,"ads,google,listings,product-feed,woocommerce",90,23,28,25.6,"Not connecting | Great for Merchant Center feeds, but conversion tracking creates conflicts with | The worst plugin I’ve ever used | Please i need help completing setup | Critical Errors | The new update seems to be crashing many sites | Field mismatches – Admin Completely Broken | Field mismatches | Cant finish setup | Impossible to make a campaign | Horrible plugin and horrible Mispresentation – i will transfer to shopify | A huge number of errors | Unsafe Website Domain | Absolute disaster for plugin | Incorrect sync | Strong contender for worst plugin ever | Not syncing at all | Extremely poor performance and nothings changed | Dno i metr mułu | Lots of problems | Terrible Multilingual Support and Sync Issues | Loops. Does not sync with Merchant Center. | Horrible experience from the start to the end",10754,196228,44280119,3.9:46.5%; other:21.9%; 3.5:9.6%; 3.7:9.1%,True,111.0,True,19.5
image-optimization,Image Optimization - Compress Images and Convert to WebP or ,popular,elemntor,captive/rollup,1000000,1.7,77,76.6,81.8,11.7,1,0.0,2026-07-07,66,2024-01-08,"convert-avif,convert-webp,image-compression,image-optimization,performance",59,19,15,32.2,"Poor image quality, S-L-O-W processing, high resource usage, frequent failures | Another Bait and Switch Plugin | Cheated by this company | Poor user experience | Including all photo sizes in the 200 free photo limit | It’s just bad | Don’t use | Breaks Post Editing with Javascript Console Errors | Don’t Use | Subscription fees are non-refundable | Too greedy plugin, avoid it. | No Refund Policy for Not Working Plugin is Absurd | No Way | when asked to optimise | messy app | Made my media library unavailable?! | Expensive plugin | very bad | Pricig is right?",5004,32830,15643549,1.7:76.5%; 1.6:16.9%; other:6.5%,False,56.0,True,18.0
woocommerce-paypal-payments,WooCommerce PayPal Payments,popular,woocommerce,captive/rollup,800000,2.8,580,49.7,52.6,41.7,43,62.8,2026-09-09,2,2020-10-15,"credit-card,ecommerce,payments,paypal,woocommerce",90,14,18,15.6,This Plugin Gave Me SEVERE Headaches and Stress! 😩 | Don’t trust your business to this plugin. | Version 4.0.3 broke our site | Funktioniert nicht | Absolutely unacceptable | Mise à jour instable | Automatically enabled 8 unwanted payment methods without consent | How can something SO important be SO terrible? | Inappropriate behavior | Broke my website | Makes me want to delete Woocommerce | full of junk and bugs | I’ve never give a one star review before | Newest plugin broke my setup with paypal,162485,265188,27564284,4.1:56.4%; other:21.6%; 4.0:16.5%; 3.3:5.5%,True,244.6,True,11.9
pojo-accessibility,"Web Accessibility (formally known as Ally) - WCAG Scanning, ",popular,elemntor,captive/rollup,500000,2.9,162,47.5,53.7,43.8,4,75.0,2026-08-24,18,2015-10-29,"a11y,accessibility,accessibility-statement,wcag,web-accessibility",77,15,56,19.5,"Unusable bloatware. Replaced on every site I manage | Installs Elementor menu and links by stealth Beware. | Stuck on the ‘welcome page’ | discriminate against non-English speakers | La avaricia de las corporaciones | GDPR Disaster | Crashed my website, I wouldn’t suggest it | Get Elementor off my dashboard | Too Expensive | It was good, now Elementor bought it | לא עובד | Took a perfectly fine plugin and ruined it. | not working | Not a good plugin | ALLY – NICHT KONFORM ZUR DSGVO / GDPR",5826,37522,6029932,4.1:78.3%; other:14.6%; 2.1:7.1%,True,51.6,True,10.1
contact-form-7,Contact Form 7,popular,rocklobsterinc,indie?,10000000,4.0,2179,18.5,21.7,67.6,43,41.9,2026-08-17,25,2007-08-02,"contact-form,schema-woven-validation",60,1,10,1.7,Quiz (form field) only loads sometimes.,50423,344980,423864617,6.1:60.6%; other:25.0%; 6.0:8.7%; 5.9:5.7%,False,4031.2,True,10.0
facebook-for-woocommerce,Meta for WooCommerce,popular,facebook,captive/rollup,400000,2.1,480,65.6,71.2,24.0,17,76.5,2026-07-23,50,2019-02-22,"catalog-sync,conversions-api,facebook,meta,whatsapp",90,14,39,15.6,"Horrible | Caused multiple site crashes | Not Connecting | Silent failure during setup caused by blocked third-party cookies | This Plugin is Garbage | Frustrating! | pésima y paupérrima | Error | conversion api dows not work, plugin looks broken | What a disaster Meta software is | Fatal error caused by JSONResponse | 1 | Ugh | Causes new and new problems in every day",2341,15020,50426458,3.7:62.5%; other:26.7%; 3.5:10.7%,False,188.9,True,8.4
woocommerce-gateway-stripe,WooCommerce Stripe Payment Gateway,popular,woocommerce,captive/rollup,700000,3.1,238,39.5,45.0,44.5,55,30.9,2026-09-08,3,2016-05-25,"credit-card,payments,stripe,woo,woocommerce",60,10,8,16.7,"Updates force features to Turn on magically | Features magically turn on and the support is useless | Bug with last version | Awful plugin, just awful | Wore with each release | 1 star after 5+ years: defaced our website without consent | Slow, Awful | No Good | Simply not good enough | Breaks down every other month",154976,215576,49812939,10.9:42.0%; other:41.2%; 10.8:16.8%,True,74.6,True,7.9
gutenberg,Gutenberg,popular,wordpressdotorg,captive/rollup,400000,2.1,3883,64.2,69.9,22.4,6,83.3,2026-09-07,4,2017-06-16,,90,13,29,14.4,"I’m not a fan of Gutenberg | Worst builder | What to say when updates come? | Its lighweight but you should not be using visual editor, specially with AI now | drawbacks of a page builders without their benefits | why is this sooo unfriendly? | Can I give it zero stars? | Just bad | Horrible | So, So Bad | Disappointing! | Gutenberg Blocks make things complicated | Bad.. just bad",4106,92767,51559282,23.9:75.0%; other:19.5%; 23.8:5.4%,False,1495.7,True,7.8
woocommerce-multilingual,WPML Multilingual - Multicurrency for WooCommerce,popular,amirhelzer,indie?,100000,4.2,454,16.3,19.8,73.6,3,100.0,2026-08-20,22,2012-02-06,"commerce,ecommerce,multicurrency,multilingual,woocommerce",60,7,8,11.7,"Run. Run now | Auto-renewed without warning | To slow down your site install WPML | Slow, buggy, house of cards | Very costly plugin | Ridiculously buggy, albeit committed support (during work hours) | slow…",647,4135,5355232,5.5:68.3%; other:21.4%; 5.3:10.3%,False,74.0,True,7.0
optinmonster,Popup Builder - Popup Maker for WordPress – OptinMonster Ema,popular,smub,captive/rollup,1000000,4.3,816,16.3,17.2,79.9,3,0.0,2026-08-14,28,2015-04-26,"ecommerce,marketing,optin,popup,popups",60,7,12,11.7,"Do not waste your time | Need Credit Card to do anything | Must have a Credit Card | Nothing works without a credit card | Locked Behind a Separate Service | Take money automaticaly, lookout! | Good plugin but extemely misleading pricing, verges on a scam in my view",9448,65236,134461739,2.17:55.1%; 2.16:36.5%; other:8.4%,False,126.2,True,6.6
broken-link-checker,Broken Link Checker,popular,wpmudev,captive/rollup,500000,3.8,605,22.0,28.8,60.3,19,5.3,2026-08-31,11,2007-10-08,"broken-images,broken-links,external-link,internal-link,links",60,9,6,15.0,My database crashed | Broken update = uninstalled | crashed database | not useful for my needs | False Positives for Broken Links EVERY TIME | Lame Link Checker | Useless Crippleware | Not working | Broken Link Checker Cloud ist absoluter unbrauchbarer Schrott,5768,54089,24397009,2.4:82.0%; 1.11:11.3%; other:6.8%,False,89.3,True,6.0
jeg-elementor-kit,"Jeg Kit for Elementor – Powerful Addons for Elementor, Widge",popular,jegtheme,indie?,300000,3.8,78,25.6,26.9,65.4,3,0.0,2026-09-10,1,2021-01-18,"addons,elementor,elements,templates,widgets",20,3,2,15.0,Update process is intentionally deceptive. | Updating convoluted | Annoying and distracting plugin behaviour,7879,36408,4530492,3.2:39.6%; 3.1:24.6%; 2.6:21.4%; 3.0:12.0%,True,34.6,True,5.2
woocommerce-payments,WooPayments: Integrated WooCommerce Payments,popular,woocommerce,captive/rollup,800000,3.4,169,36.1,39.1,55.6,6,0.0,2026-09-02,9,2020-04-08,"apple-pay,credit-card,google-pay,payment,woocommerce-payments",60,6,21,10.0,Tan malo y costoso como Stripe (es lo mismo) | If you actually wish to have your money at the end of the day STAY AWAY!! | Doesn’t allow use of existing Stripe accounts | Better use Stripe directly | Consider removing the connection requirement. | Do Not Use WooPayments,9442,82278,45455120,11.1:29.9%; other:29.8%; 11.0:15.1%; 10.7:11.7%,True,51.8,True,5.1
backwpup,BackWPup – WordPress Backup - Restore Plugin,popular,wp_media,captive/rollup,400000,4.0,1321,22.4,24.5,69.5,12,0.0,2026-09-07,4,2009-07-05,"backup,cloud-backup,database-backup,restore,wordpress-backup",210,6,151,2.9,funkioniert nicht | You have ruined a brilliant plugin | WARNING – CHECK YOUR INSTALLATIONS!!! | Sadly Has Become Unusable | Ziemlich unbrauchbar / pretty unusable | V5 misses functions and has Bugs in UI,6468,162035,24853029,5.7:43.3%; other:22.5%; 4.0:10.9%; 5.6:10.1%,False,177.5,True,3.6
google-captcha,reCaptcha by BestWebSoft,popular,bestwebsoft,indie?,100000,3.9,391,21.0,25.1,68.0,4,0.0,2026-04-24,140,2014-02-07,"anti-spam-security,antispam,captcha,captha,recaptcha",60,3,1,5.0,Doesnt work | DOES NOT WORK | Unfortunately doesn’t work.,421,2563,6771093,1.87:49.0%; other:45.5%; 1.80:5.5%,False,82.1,True,3.0
official-facebook-pixel,Meta pixel for WordPress,popular,facebook,captive/rollup,400000,2.7,164,50.6,57.9,36.0,1,100.0,2026-07-27,46,2018-11-06,"conversions-api,facebook,meta,meta-ads,pixel",60,5,10,8.3,Plugin full of errors | Disappointing for such a big company | Bloated and full of issues | Trop d’erreur | not working steps,1980,12593,11295740,5.2:60.0%; 3.0:15.7%; other:12.5%; 4.1:11.8%,True,49.8,True,3.0
nitropack,"NitroPack – Performance, Page Speed - Cache Plugin for Core ",popular,nitropack,indie?,90000,4.3,311,15.4,16.4,78.8,1,100.0,2026-08-24,18,2019-08-29,"cache,core-web-vitals,page-speed,performance,website-speed",48,2,5,4.2,Worse than Useless. Refused to top billing my credit card. | Useless,882,5836,5152555,1.20:34.2%; 1.19:31.6%; 1.18:13.3%; other:9.9%,False,45.4,True,1.9
woocommerce-mercadopago,Mercado Pago payments for WooCommerce,popular,mercadopago,captive/rollup,100000,3.9,693,21.4,24.7,65.1,10,20.0,2026-08-24,18,2012-11-07,"ecommerce,mercadopago,woocommerce",60,6,2,10.0,PEDIDOS PENDIENTES | O plugin do Mercado Pago e sua experiência frustrante | ¡Entregas datos de clientes a tu competencia! | No tenía problemas con el plugin de mercado hasta hoy. | Nueva versión confusa | Muy confusa la configuración para hacer test,1054,7397,6209167,8.9:59.0%; other:23.4%; 8.7:17.7%,False,44.5,True,1.8
health-check,Health Check - Troubleshooting,popular,wordpressdotorg,captive/rollup,200000,3.6,181,32.0,34.8,59.1,1,100.0,2024-07-25,778,2018-06-09,health-check,58,3,3,5.2,Nobody seems to care | I can’t believe that | Authors are slow to fix issues,609,3766,5357368,1.7:90.9%; 1.4:5.2%; other:3.9%,True,24.6,True,1.3
yith-woocommerce-wishlist,YITH WooCommerce Wishlist,popular,yithemes,captive/rollup,400000,3.9,262,20.2,24.8,64.5,2,100.0,2026-09-07,4,2013-05-29,"wishlist-for-woocommerce,woocommerce-add-to-wishlist,woocommerce-wishlist,yith-wishlist,yith-woocommerce-wishlist",53,2,4,3.8,Automated bots target query string “add_to_wishlist” | Plugin harmful to website SEO,5448,90746,32004771,other:51.3%; 4.18:19.2%; 4.17:9.7%; 4.14:7.7%,False,31.8,True,1.2
email-address-encoder,Email Address Encoder,popular,tillkruess,indie?,100000,4.2,160,16.2,20.0,74.4,2,50.0,2026-04-12,152,2011-11-21,"block,crawler,encryption,protection,spam",26,1,3,3.8,No answer,231,1667,1668175,1.0:100.0%,False,25.9,True,1.0
